Zipcode,City,County,State,Country,Timezone
85007-3204,Phoenix,Maricopa,AZ,US,US/Mountain
85008-3016,Phoenix,Maricopa,AZ,US,US/Mountain
85009-1240,Phoenix,Maricopa,AZ,US,US/Mountain
85009-1611,Phoenix,Maricopa,AZ,US,US/Mountain
85009-2819,Phoenix,Maricopa,AZ,US,US/Mountain
85021-2129,Phoenix,Maricopa,AZ,US,US/Mountain
85033-5854,Phoenix,Maricopa,AZ,US,US/Mountain
85034-4201,Phoenix,Maricopa,AZ,US,US/Mountain
85034-6808,Phoenix,Maricopa,AZ,US,US/Mountain
85035-1944,Phoenix,Maricopa,AZ,US,US/Mountain
85043-3921,Phoenix,Maricopa,AZ,US,US/Mountain
85120-3805,Apache Junction,Pinal,AZ,US,US/Mountain
85224-3660,Chandler,Maricopa,AZ,US,US/Mountain
85224-4338,Chandler,Maricopa,AZ,US,US/Mountain
85255-6455,Scottsdale,Maricopa,AZ,US,US/Mountain
85256-5306,Scottsdale,Maricopa,AZ,US,US/Mountain
85282-2855,Tempe,Maricopa,AZ,US,US/Mountain
85303-6114,Glendale,Maricopa,AZ,US,US/Mountain
85339-3474,Laveen,Maricopa,AZ,US,US/Mountain
85382-3870,Peoria,Maricopa,AZ,US,US/Mountain
85641-9303,Vail,Pima,AZ,US,US/Mountain
85710-5753,Tucson,Pima,AZ,US,US/Mountain
85713-5608,Tucson,Pima,AZ,US,US/Mountain
85719-5745,Tucson,Pima,AZ,US,US/Mountain
85746-6519,Tucson,Pima,AZ,US,US/Mountain
85748-1918,Tucson,Pima,AZ,US,US/Mountain
85749-8411,Tucson,Pima,AZ,US,US/Mountain
85929-5898,Lakeside,Navajo,AZ,US,US/Mountain
87025,Jemez Springs,Sandoval,NM,US,US/Mountain
87108-1701,Albuquerque,Bernalillo,NM,US,US/Mountain
97910-9706,Jordan Valley,Malheur,OR,US,US/Mountain
97914-8225,Ontario,Malheur,OR,US,US/Mountain
97914-8231,Ontario,Malheur,OR,US,US/Mountain
79901-1038,El Paso,El Paso,TX,US,US/Mountain
79902-5318,El Paso,El Paso,TX,US,US/Mountain
79903-2822,El Paso,El Paso,TX,US,US/Mountain
